	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	dum_ictdev	dum_info	dum_comm	dum_content	dum_security	dum_problem
						
own_computer	0.546	0.817	0.452	0.453	0.307	0.717
	(0.494)	(0.637)	(0.525)	(0.606)	(0.663)	(0.510)
own_smartphone	1.282***	1.332***	1.466***	1.392***	1.744***	1.865***
	(0.396)	(0.439)	(0.465)	(0.407)	(0.637)	(0.320)
ictdevice_ratio	-0.921*	-0.867*	0.158	-0.647	-0.916***	-0.637
	(0.501)	(0.498)	(0.331)	(0.626)	(0.292)	(0.421)
ln_phonecr_rp	0.392**	0.242	0.246	0.135	0.0537	0.437***
	(0.177)	(0.219)	(0.163)	(0.178)	(0.0799)	(0.0815)
ms_download	0.0782**	-0.00432	0.0467*	0.0229	0.00302	-0.0490***
	(0.0364)	(0.0330)	(0.0255)	(0.0373)	(0.0622)	(0.0161)
intra_selfdirect	0.832***	0.629	0.400	0.531	0.671	0.498**
	(0.281)	(0.402)	(0.445)	(0.335)	(0.477)	(0.195)
intra_creative	0.0479	0.298	0.500	-0.0132	0.331	0.476
	(0.279)	(0.275)	(0.327)	(0.271)	(0.347)	(0.296)
intra_critical	0.243	0.193	-1.131*	0.128	1.245***	0.736***
	(0.339)	(0.506)	(0.667)	(0.360)	(0.445)	(0.192)
intra_growthmind	1.581***	0.196	0.569***	0.806***	-0.0526	0.791**
	(0.496)	(0.437)	(0.206)	(0.291)	(0.256)	(0.398)
inter_comm	-0.0702	-0.124	0.394	0.228	0.259	-0.314
	(0.242)	(0.297)	(0.277)	(0.267)	(0.388)	(0.192)
inter_collab	-0.0971	-0.0453	0.278	-0.123	0.463	-0.143
	(0.301)	(0.268)	(0.170)	(0.199)	(0.355)	(0.513)
inter_leadership	0.599**	0.928***	0.757**	0.409	0.905***	0.570**
	(0.291)	(0.195)	(0.301)	(0.268)	(0.255)	(0.222)
inter_problem	-0.0822	-0.453	1.002*	-0.118	0.909	-0.260
	(0.578)	(0.520)	(0.592)	(0.535)	(0.601)	(0.481)
male	0.906***	0.602**	0.362*	0.0694	0.507***	0.567**
	(0.300)	(0.265)	(0.207)	(0.238)	(0.189)	(0.265)
1.agegroup	3.828***	3.015***	4.347***	4.446***	2.290***	3.811***
	(0.746)	(0.767)	(0.942)	(0.770)	(0.553)	(0.564)
2.agegroup	3.302***	3.377***	3.212***	2.211***	2.045***	3.517***
	(0.494)	(0.762)	(0.722)	(0.340)	(0.502)	(0.582)
3.agegroup	2.596***	2.056***	2.107***	1.669***	2.009***	2.244***
	(0.376)	(0.721)	(0.745)	(0.410)	(0.385)	(0.428)
4.agegroup	1.635***	1.026	1.773**	0.578	0.447	0.624
	(0.496)	(0.681)	(0.780)	(0.451)	(0.328)	(0.563)
5.agegroup	1.187**	-0.499	1.069	-0.297	-0.431	0.453
	(0.474)	(0.594)	(0.762)	(0.477)	(0.710)	(0.548)
working	0.0306	-0.424	0.0161	0.396*	-0.445	-0.00241
	(0.479)	(0.390)	(0.182)	(0.204)	(0.348)	(0.476)
educ_year	0.125**	0.232***	0.199***	0.140**	0.107**	0.158***
	(0.0604)	(0.0685)	(0.0547)	(0.0629)	(0.0523)	(0.0384)
2.quintile	0.384	0.484	-0.151	0.530**	-0.493	0.130
	(0.411)	(0.462)	(0.414)	(0.231)	(0.538)	(0.528)
