	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	dum_ictdev	dum_info	dum_comm	dum_content	dum_security	dum_problem
						
dum_ictdev						
						
own_computer	1.726	2.264	1.572	1.573	1.359	2.049
	(0.853)	(1.442)	(0.824)	(0.952)	(0.902)	(1.045)
own_smartphone	3.602***	3.790***	4.331***	4.021***	5.717***	6.457***
	(1.425)	(1.665)	(2.015)	(1.637)	(3.640)	(2.066)
ictdevice_ratio	0.398*	0.420*	1.171	0.524	0.400***	0.529
	(0.199)	(0.209)	(0.388)	(0.328)	(0.117)	(0.223)
ln_phonecr_rp	1.479**	1.274	1.278	1.144	1.055	1.548***
	(0.262)	(0.279)	(0.208)	(0.204)	(0.0843)	(0.126)
ms_download	1.081**	0.996	1.048*	1.023	1.003	0.952***
	(0.0394)	(0.0329)	(0.0268)	(0.0382)	(0.0624)	(0.0153)
intra_selfdirect	2.298***	1.876	1.492	1.701	1.956	1.646**
	(0.646)	(0.754)	(0.664)	(0.569)	(0.933)	(0.321)
intra_creative	1.049	1.348	1.648	0.987	1.393	1.610
	(0.293)	(0.371)	(0.539)	(0.268)	(0.484)	(0.477)
intra_critical	1.275	1.213	0.323*	1.137	3.474***	2.087***
	(0.432)	(0.613)	(0.215)	(0.410)	(1.547)	(0.401)
intra_growthmind	4.860***	1.217	1.767***	2.238***	0.949	2.206**
	(2.410)	(0.532)	(0.363)	(0.652)	(0.243)	(0.878)
inter_comm	0.932	0.883	1.484	1.255	1.295	0.730
	(0.226)	(0.262)	(0.411)	(0.335)	(0.503)	(0.140)
inter_collab	0.907	0.956	1.320	0.885	1.589	0.867
	(0.273)	(0.256)	(0.225)	(0.176)	(0.564)	(0.444)
inter_leadership	1.821**	2.528***	2.133**	1.505	2.472***	1.768**
	(0.530)	(0.493)	(0.642)	(0.404)	(0.630)	(0.393)
inter_problem	0.921	0.635	2.722*	0.888	2.481	0.771
	(0.532)	(0.330)	(1.613)	(0.475)	(1.492)	(0.371)
male	2.474***	1.827**	1.436*	1.072	1.660***	1.763**
	(0.741)	(0.483)	(0.298)	(0.255)	(0.313)	(0.467)
1.agegroup	45.98***	20.38***	77.23***	85.31***	9.873***	45.18***
	(34.32)	(15.63)	(72.72)	(65.69)	(5.461)	(25.48)
2.agegroup	27.16***	29.28***	24.83***	9.127***	7.729***	33.67***
	(13.41)	(22.32)	(17.94)	(3.108)	(3.882)	(19.60)
3.agegroup	13.41***	7.818***	8.224***	5.307***	7.453***	9.434***
	(5.047)	(5.633)	(6.123)	(2.176)	(2.869)	(4.034)
4.agegroup	5.130***	2.790	5.886**	1.783	1.564	1.867
	(2.547)	(1.899)	(4.589)	(0.804)	(0.513)	(1.050)
5.agegroup	3.277**	0.607	2.912	0.743	0.650	1.573
	(1.554)	(0.360)	(2.218)	(0.354)	(0.461)	(0.862)
working	1.031	0.654	1.016	1.485*	0.641	0.998
	(0.494)	(0.255)	(0.185)	(0.303)	(0.223)	(0.475)
educ_year	1.133**	1.261***	1.220***	1.150**	1.113**	1.171***
	(0.0685)	(0.0863)	(0.0668)	(0.0723)	(0.0582)	(0.0450)
2.quintile	1.469	1.622	0.860	1.700**	0.611	1.139
	(0.604)	(0.749)	(0.356)	(0.392)	(0.329)	(0.601)
3.quintile	1.907	2.988**	0.750	3.008	1.485	1.198
