	(1)	(2)	(3)	(4)
VARIABLES	dum_comm	dum_comm	dum_comm	dum_comm
				
own_computer	1.058***	0.746*	0.556	0.556
	(0.326)	(0.437)	(0.514)	(0.550)
own_smartphone	1.992***	1.997***	1.859***	1.689***
	(0.467)	(0.455)	(0.395)	(0.361)
ictdevice_ratio	-0.399**	-0.206	-0.122	-0.140
	(0.157)	(0.225)	(0.304)	(0.324)
ln_phonecr_rp	0.449***	0.371***	0.233	0.200
	(0.163)	(0.142)	(0.190)	(0.195)
ms_download	-0.0131	-0.0275	-0.0423	0.00851
	(0.0352)	(0.0353)	(0.0343)	(0.0257)
intra_selfdirect		0.596	0.549	0.619
		(0.411)	(0.460)	(0.505)
intra_creative		0.682	0.660*	0.629
		(0.446)	(0.351)	(0.387)
intra_critical		-0.787	-0.917	-0.925
		(0.626)	(0.616)	(0.640)
intra_growthmind		0.608**	0.567***	0.446***
		(0.253)	(0.174)	(0.168)
inter_comm		0.378*	0.244	0.283
		(0.194)	(0.247)	(0.259)
inter_collab		0.402*	0.189	0.255
		(0.232)	(0.213)	(0.197)
inter_leadership		0.311	0.481*	0.548**
		(0.247)	(0.259)	(0.263)
inter_problem		0.373	0.596	0.741
		(0.361)	(0.464)	(0.531)
male			0.243*	0.191
			(0.129)	(0.137)
working			-0.381**	-0.422**
			(0.186)	(0.186)
educ_year			0.211***	0.241***
			(0.0354)	(0.0544)
2.quintile			-0.488*	-0.625*
			(0.266)	(0.327)
3.quintile			-0.359	-0.559
			(0.499)	(0.536)
4.quintile			-0.361	-0.597
			(0.312)	(0.412)
5.quintile			-0.168	-0.415
			(0.346)	(0.483)
1.island_region				1.481**
				(0.601)
2.island_region				1.347***
				(0.393)
3.island_region				1.512***
				(0.537)
4.island_region				0.728*
				(0.435)
5.island_region				0.415
				(0.486)
6.island_region				0.521*
				(0.269)
1.urban_classification				1.722***
				(0.477)
2.urban_classification				1.191**
				(0.470)
3.urban_classification				1.307***
				(0.331)
5.urban_classification				1.177***
				(0.422)
6.urban_classification				1.270***
				(0.292)
Constant	-5.007***	-5.928***	-5.779***	-8.404***
	(1.509)	(1.479)	(1.881)	(2.431)
				
Observations	2,834	2,834	2,834	2,834
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
