	(1)	(2)	(3)	(4)
VARIABLES	dum_content	dum_content	dum_content	dum_content
				
own_computer	0.760*	0.586	0.419	0.419
	(0.435)	(0.417)	(0.522)	(0.520)
own_smartphone	1.872***	1.741***	1.591***	1.568**
	(0.639)	(0.617)	(0.547)	(0.615)
ictdevice_ratio	-0.781**	-0.726*	-0.683	-0.802*
	(0.340)	(0.416)	(0.451)	(0.453)
ln_phonecr_rp	0.243	0.158	0.0984	0.0980
	(0.149)	(0.116)	(0.152)	(0.187)
ms_download	-0.0377	-0.0534	-0.0580	-0.0118
	(0.0337)	(0.0332)	(0.0363)	(0.0258)
intra_selfdirect		0.870***	0.768**	0.863***
		(0.329)	(0.352)	(0.331)
intra_creative		0.163	0.115	0.0863
		(0.123)	(0.212)	(0.223)
intra_critical		0.0980	0.159	0.243
		(0.246)	(0.217)	(0.226)
intra_growthmind		0.667**	0.645**	0.589***
		(0.278)	(0.257)	(0.206)
inter_comm		0.140	0.0588	0.0617
		(0.226)	(0.238)	(0.243)
inter_collab		-0.0905	-0.170	-0.113
		(0.210)	(0.232)	(0.254)
inter_leadership		0.168	0.269	0.219
		(0.224)	(0.301)	(0.285)
inter_problem		-0.411	-0.504	-0.383
		(0.449)	(0.463)	(0.499)
male			-0.0587	-0.130
			(0.197)	(0.227)
working			-0.0733	-0.0733
			(0.144)	(0.157)
educ_year			0.151**	0.184**
			(0.0624)	(0.0736)
2.quintile			0.0550	-0.0788
			(0.368)	(0.337)
3.quintile			0.707	0.606
			(0.549)	(0.544)
4.quintile			-0.247	-0.495
			(0.212)	(0.303)
5.quintile			-0.228	-0.556**
			(0.302)	(0.247)
1.island_region				0.834***
				(0.236)
2.island_region				0.713*
				(0.422)
3.island_region				1.217**
				(0.556)
4.island_region				1.096***
				(0.280)
5.island_region				0.348
				(0.265)
6.island_region				0.300
				(0.333)
1.urban_classification				1.172***
				(0.387)
2.urban_classification				1.612***
				(0.444)
3.urban_classification				1.798***
				(0.441)
5.urban_classification				1.182***
				(0.408)
6.urban_classification				1.267***
				(0.441)
Constant	-2.159*	-2.146	-2.590**	-5.377***
	(1.207)	(1.419)	(1.217)	(1.700)
				
Observations	2,834	2,834	2,834	2,834
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
