	(1)	(2)	(3)	(4)
VARIABLES	dum_ictdev	dum_ictdev	dum_ictdev	dum_ictdev
				
own_computer	0.804*	0.568	0.554	0.654
	(0.412)	(0.450)	(0.433)	(0.460)
own_smartphone	1.623***	1.516***	1.419***	1.536***
	(0.488)	(0.478)	(0.414)	(0.460)
ictdevice_ratio	-0.940**	-0.941***	-1.058**	-1.154**
	(0.389)	(0.328)	(0.436)	(0.476)
ln_phonecr_rp	0.540***	0.423***	0.334*	0.351*
	(0.181)	(0.133)	(0.199)	(0.189)
ms_download	0.0399	0.0274	0.0279	0.0440
	(0.0425)	(0.0372)	(0.0413)	(0.0336)
intra_selfdirect		0.915***	0.888***	1.022***
		(0.252)	(0.310)	(0.302)
intra_creative		0.241	0.161	0.131
		(0.177)	(0.204)	(0.204)
intra_critical		0.265	0.267	0.352
		(0.238)	(0.255)	(0.295)
intra_growthmind		1.328***	1.372***	1.424***
		(0.485)	(0.468)	(0.446)
inter_comm		-0.0300	-0.187	-0.187
		(0.248)	(0.256)	(0.242)
inter_collab		0.0684	-0.245	-0.176
		(0.340)	(0.322)	(0.331)
inter_leadership		0.385	0.537*	0.435
		(0.246)	(0.300)	(0.287)
inter_problem		-0.276	-0.161	-0.183
		(0.532)	(0.538)	(0.545)
male			0.697**	0.680**
			(0.329)	(0.316)
working			-0.336	-0.290
			(0.422)	(0.447)
educ_year			0.165***	0.171**
			(0.0617)	(0.0740)
2.quintile			-0.0695	-0.165
			(0.403)	(0.399)
3.quintile			0.329	0.300
			(0.490)	(0.475)
4.quintile			0.168	-0.00573
			(0.596)	(0.589)
5.quintile			0.0230	-0.213
			(0.623)	(0.666)
1.island_region				0.913*
				(0.489)
2.island_region				0.514
				(0.414)
3.island_region				1.701**
				(0.792)
4.island_region				1.136**
				(0.491)
5.island_region				0.838*
				(0.490)
6.island_region				0.573
				(0.510)
1.urban_classification				0.754
				(0.520)
2.urban_classification				0.732
				(0.457)
3.urban_classification				1.405**
				(0.549)
5.urban_classification				0.278
				(0.380)
6.urban_classification				0.875**
				(0.381)
Constant	-5.530***	-6.194***	-6.806***	-8.847***
	(1.463)	(1.250)	(1.308)	(1.584)
				
Observations	2,834	2,834	2,834	2,834
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
