	(1)	(2)	(3)	(4)
VARIABLES	dum_info	dum_info	dum_info	dum_info
				
own_computer	1.366**	1.212*	1.027	1.023*
	(0.638)	(0.624)	(0.637)	(0.605)
own_smartphone	1.752***	1.586***	1.425***	1.480***
	(0.438)	(0.397)	(0.364)	(0.374)
ictdevice_ratio	-0.986***	-0.933***	-0.970**	-1.060***
	(0.349)	(0.310)	(0.389)	(0.391)
ln_phonecr_rp	0.348*	0.294**	0.172	0.179
	(0.189)	(0.127)	(0.234)	(0.240)
ms_download	-0.0203	-0.0358	-0.0523	-0.0396
	(0.0217)	(0.0288)	(0.0454)	(0.0473)
intra_selfdirect		0.958***	0.860**	0.873**
		(0.276)	(0.403)	(0.402)
intra_creative		0.304	0.253	0.258
		(0.488)	(0.285)	(0.285)
intra_critical		0.168	0.165	0.233
		(0.404)	(0.465)	(0.450)
intra_growthmind		0.260	0.236	0.196
		(0.450)	(0.342)	(0.305)
inter_comm		-0.0964	-0.287	-0.294
		(0.264)	(0.307)	(0.311)
inter_collab		0.0345	-0.149	-0.127
		(0.260)	(0.318)	(0.302)
inter_leadership		0.416***	0.696***	0.698***
		(0.131)	(0.215)	(0.228)
inter_problem		-0.287	-0.226	-0.224
		(0.504)	(0.525)	(0.554)
male			0.245	0.266
			(0.191)	(0.199)
working			-0.637	-0.627
			(0.395)	(0.400)
educ_year			0.242***	0.254***
			(0.0761)	(0.0849)
2.quintile			0.0506	-0.0212
			(0.448)	(0.417)
3.quintile			0.673	0.644
			(0.446)	(0.443)
4.quintile			0.0360	-0.0633
			(0.408)	(0.399)
5.quintile			0.0339	-0.0754
			(0.409)	(0.391)
1.island_region				1.185***
				(0.377)
2.island_region				0.627*
				(0.347)
3.island_region				1.240***
				(0.420)
4.island_region				0.643
				(0.470)
5.island_region				0.269
				(0.536)
6.island_region				0.489**
				(0.208)
1.urban_classification				0.498*
				(0.282)
2.urban_classification				0.771**
				(0.376)
3.urban_classification				0.853**
				(0.422)
5.urban_classification				0.0749
				(0.458)
6.urban_classification				0.420**
				(0.175)
Constant	-3.248*	-3.665**	-4.119**	-5.812***
	(1.892)	(1.556)	(1.863)	(1.965)
				
Observations	2,834	2,834	2,834	2,834
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
