	(1)	(2)	(3)	(4)
VARIABLES	dum_problem	dum_problem	dum_problem	dum_problem
				
own_computer	0.787	0.685	0.628	0.686
	(0.601)	(0.601)	(0.565)	(0.520)
own_smartphone	2.046***	1.987***	1.913***	2.000***
	(0.336)	(0.335)	(0.319)	(0.374)
ictdevice_ratio	-0.821***	-0.785***	-0.719**	-0.714**
	(0.272)	(0.282)	(0.313)	(0.288)
ln_phonecr_rp	0.462***	0.430***	0.378***	0.325***
	(0.0599)	(0.0314)	(0.0482)	(0.0464)
ms_download	-0.0475*	-0.0654**	-0.0771***	-0.0817**
	(0.0270)	(0.0269)	(0.0286)	(0.0336)
intra_selfdirect		0.739***	0.645***	0.700***
		(0.182)	(0.234)	(0.226)
intra_creative		0.606***	0.602***	0.512***
		(0.137)	(0.173)	(0.152)
intra_critical		0.469***	0.454**	0.553**
		(0.178)	(0.205)	(0.245)
intra_growthmind		0.763**	0.769***	0.745**
		(0.325)	(0.284)	(0.310)
inter_comm		-0.392**	-0.543***	-0.541***
		(0.195)	(0.164)	(0.166)
inter_collab		-0.184	-0.327	-0.241
		(0.387)	(0.421)	(0.418)
inter_leadership		0.322	0.492**	0.479**
		(0.232)	(0.218)	(0.225)
inter_problem		-0.379	-0.259	-0.229
		(0.393)	(0.405)	(0.439)
male			0.282**	0.240**
			(0.113)	(0.0952)
working			-0.599	-0.618
			(0.379)	(0.418)
educ_year			0.160***	0.167***
			(0.0160)	(0.0171)
2.quintile			-0.333	-0.409
			(0.336)	(0.414)
3.quintile			-0.00652	-0.123
			(0.242)	(0.248)
4.quintile			-0.114	-0.331
			(0.175)	(0.230)
5.quintile			-0.440	-0.647
			(0.323)	(0.505)
1.island_region				0.772*
				(0.448)
2.island_region				-0.221
				(0.464)
3.island_region				0.828
				(0.517)
4.island_region				-0.113
				(0.423)
5.island_region				0.0161
				(0.399)
6.island_region				0.240
				(0.418)
1.urban_classification				1.972***
				(0.462)
2.urban_classification				1.271***
				(0.350)
3.urban_classification				1.579***
				(0.447)
5.urban_classification				1.997***
				(0.432)
6.urban_classification				1.148***
				(0.436)
Constant	-5.241***	-6.243***	-6.670***	-7.588***
	(0.442)	(0.533)	(0.612)	(0.993)
				
Observations	2,834	2,834	2,834	2,834
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
