	(1)	(2)	(3)	(4)
VARIABLES	dum_security	dum_security	dum_security	dum_security
				
own_computer	0.666***	0.307	0.328	0.368
	(0.250)	(0.449)	(0.454)	(0.510)
own_smartphone	1.792***	1.760***	1.865***	1.895***
	(0.401)	(0.436)	(0.592)	(0.596)
ictdevice_ratio	-1.046***	-0.944***	-1.026***	-1.130***
	(0.344)	(0.254)	(0.280)	(0.288)
ln_phonecr_rp	0.262**	0.0935	0.0342	0.00258
	(0.130)	(0.127)	(0.0933)	(0.0965)
ms_download	-0.0147	-0.0427	-0.0521	-0.0370
	(0.0368)	(0.0494)	(0.0531)	(0.0719)
intra_selfdirect		1.015**	0.906*	0.938*
		(0.431)	(0.472)	(0.516)
intra_creative		0.138	0.247	0.253
		(0.380)	(0.342)	(0.380)
intra_critical		0.880**	0.961**	1.122***
		(0.348)	(0.415)	(0.384)
intra_growthmind		0.188	0.184	-0.0294
		(0.314)	(0.306)	(0.226)
inter_comm		0.139	0.0497	0.0802
		(0.256)	(0.311)	(0.310)
inter_collab		0.432	0.270	0.304
		(0.327)	(0.285)	(0.290)
inter_leadership		0.631**	0.794***	0.841***
		(0.288)	(0.279)	(0.291)
inter_problem		0.689	0.765	0.895
		(0.588)	(0.554)	(0.624)
male			0.310**	0.291*
			(0.125)	(0.150)
working			-0.582	-0.616*
			(0.379)	(0.370)
educ_year			0.117**	0.147**
			(0.0455)	(0.0629)
2.quintile			-0.660	-0.826
			(0.683)	(0.664)
3.quintile			0.393	0.192
			(0.487)	(0.460)
4.quintile			0.684	0.400
			(0.608)	(0.539)
5.quintile			-0.0354	-0.371
			(0.604)	(0.488)
1.island_region				1.641***
				(0.508)
2.island_region				0.615**
				(0.306)
3.island_region				1.650***
				(0.564)
4.island_region				0.862**
				(0.358)
5.island_region				0.544
				(0.346)
6.island_region				0.892***
				(0.153)
1.urban_classification				2.164***
				(0.462)
2.urban_classification				2.077***
				(0.549)
3.urban_classification				1.891***
				(0.508)
5.urban_classification				1.209**
				(0.602)
6.urban_classification				0.863***
				(0.244)
Constant	-2.067*	-3.096*	-3.528**	-6.135***
	(1.216)	(1.700)	(1.501)	(2.056)
				
Observations	2,834	2,834	2,834	2,834
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
